[0.2173913  0.76859433 0.54347826 0.30743773 0.2173913 ]	1
[0.2173913  0.76090838 0.53804348 0.30743773 0.2173913 ]	1
[0.2173913  0.75322244 0.5326087  0.30743773 0.2173913 ]	1
[0.2173913  0.7455365  0.52717391 0.30743773 0.2173913 ]	1
[0.2173913  0.73785055 0.52173913 0.30743773 0.2173913 ]	1
[0.2173913  0.73016461 0.51630435 0.30743773 0.2173913 ]	1
[0.2173913  0.72247867 0.51086957 0.30743773 0.2173913 ]	1
[0.2173913  0.71479272 0.50543478 0.30743773 0.2173913 ]	1
[0.2173913  0.70710678 0.5        0.30743773 0.2173913 ]	1
[0.2173913  0.69942084 0.49456522 0.30743773 0.2173913 ]	1
[0.2173913  0.69173489 0.48913043 0.30743773 0.2173913 ]	1
[0.2173913  0.68404895 0.48369565 0.30743773 0.2173913 ]	1
[0.2173913  0.67636301 0.47826087 0.30743773 0.2173913 ]	1
[0.2173913  0.66867706 0.47282609 0.30743773 0.2173913 ]	1
[0.2173913  0.66099112 0.4673913  0.30743773 0.2173913 ]	1
[0.2173913  0.65330518 0.46195652 0.30743773 0.2173913 ]	1
[0.2173913  0.64561923 0.45652174 0.30743773 0.2173913 ]	1
[0.2173913  0.63793329 0.45108696 0.30743773 0.2173913 ]	1
[0.2173913  0.63024735 0.44565217 0.30743773 0.2173913 ]	1
[0.2173913  0.62256141 0.44021739 0.30743773 0.2173913 ]	1
[0.86956522 0.61487546 0.43478261 0.30743773 0.2173913 ]	1
[0.86956522 0.60718952 0.42934783 0.30743773 0.2173913 ]	1
[0.86956522 0.59950358 0.42391304 0.30743773 0.2173913 ]	1
[0.86956522 0.59181763 0.41847826 0.30743773 0.2173913 ]	1
[0.86956522 0.58413169 0.41304348 0.30743773 0.2173913 ]	1
[0.86956522 0.57644575 0.4076087  0.30743773 0.2173913 ]	1
[0.86956522 0.5687598  0.40217391 0.30743773 0.2173913 ]	1
[0.86956522 0.56107386 0.39673913 0.30743773 0.2173913 ]	1
[0.86956522 0.55338792 0.39130435 0.30743773 0.2173913 ]	1
[0.86956522 0.54570197 0.38586957 0.30743773 0.2173913 ]	1
[0.86956522 0.53801603 0.38043478 0.30743773 0.2173913 ]	1
[0.86956522 0.53033009 0.375      0.30743773 0.2173913 ]	1
[0.86956522 0.52264414 0.36956522 0.30743773 0.2173913 ]	1
[0.86956522 0.5149582  0.36413043 0.30743773 0.2173913 ]	1
[0.86956522 0.50727226 0.35869565 0.30743773 0.2173913 ]	1
[0.86956522 0.49958631 0.35326087 0.30743773 0.2173913 ]	1
[0.86956522 0.49190037 0.34782609 0.30743773 0.2173913 ]	1
[0.86956522 0.48421443 0.3423913  0.30743773 0.2173913 ]	1
[0.86956522 0.47652848 0.33695652 0.30743773 0.2173913 ]	1
[0.86956522 0.46884254 0.33152174 0.30743773 0.2173913 ]	1
[0.86956522 0.4611566  0.32608696 0.30743773 0.2173913 ]	1
[0.86956522 0.45347065 0.32065217 0.30743773 0.2173913 ]	1
[0.86956522 0.44578471 0.31521739 0.30743773 0.2173913 ]	1
[0.86956522 0.43809877 0.30978261 0.30743773 0.2173913 ]	1
[0.86956522 0.43041282 0.30434783 0.30743773 0.2173913 ]	1
[0.86956522 0.42272688 0.29891304 0.30743773 0.2173913 ]	1
[0.86956522 0.41504094 0.29347826 0.30743773 0.2173913 ]	1
[0.86956522 0.40735499 0.28804348 0.30743773 0.2173913 ]	1
[0.86956522 0.39966905 0.2826087  0.30743773 0.2173913 ]	1
[0.86956522 0.39198311 0.27717391 0.30743773 0.2173913 ]	1
[0.86956522 0.38429716 0.27173913 0.30743773 0.2173913 ]	0
[0.87047374 0.39799673 0.26667727 0.32531129 0.21797447]	0
[0.87349781 0.41458499 0.26234393 0.3357243  0.21944598]	1
[0.87292659 0.40599634 0.25690915 0.32876935 0.2200172 ]	0
[0.87810535 0.42555322 0.25325185 0.30918251 0.22240022]	0
[0.88551509 0.44950484 0.25028726 0.29191186 0.22572469]	0
[0.89526319 0.47913658 0.24801934 0.27662963 0.23003701]	0
[0.90749433 0.51630927 0.24646222 0.26307271 0.23539939]	0
[0.92239589 0.56381863 0.24564107 0.25102823 0.24189215]	0
[0.94020523 0.62606261 0.24559344 0.24032292 0.24961681]	0
[0.96121954 0.7103763  0.2463712  0.23081525 0.25870029]	0
[0.43994184 0.82996863 0.24804317 0.22238942 0.26930045]	0
[0.4122527  0.86978232 0.25069879 0.21495089 0.28161359]	0
[0.38947174 0.85814621 0.25445308 0.2084229  0.29588441]	0
[0.37047801 0.84881066 0.25945351 0.2027439  0.31241973]	0
[0.35447219 0.8416777  0.26588951 0.19786558 0.29530022]	0
[0.34086954 0.83668124 0.27400592 0.19375144 0.27400592]	1
[0.34630433 0.83283827 0.26857114 0.18990847 0.26857114]	0
[0.33440415 0.82993684 0.27837897 0.18652752 0.25065355]	0
[0.32417454 0.82911781 0.29055418 0.18385887 0.23528614]	0
[0.31535236 0.83040262 0.30565106 0.18189664 0.2220685 ]	0
[0.30773158 0.83384245 0.32442991 0.18064471 0.21068725]	0
[0.31748084 0.83952029 0.3479596  0.18011714 0.20089457]	0
[0.33898946 0.84755416 0.37778866 0.18033887 0.19249294]	0
[0.36616586 0.85810174 0.41624461 0.18134692 0.18532404]	0
[0.40142894 0.8713668  0.4669901  0.18319207 0.1792607 ]	0
[0.44881182 0.88760786 0.53613506 0.18594122 0.17420084]	0
[0.95523722 0.90714983 0.63468366 0.1896806  0.17006297]	0
[0.94445691 0.93039962 0.78465171 0.19452008 0.16678287]	0
[0.93619455 0.95786728 0.78459052 0.20059909 0.16431102]	0
[0.930333   0.99019481 0.77376466 0.20809474 0.16261079]	0
[0.9267911  0.40851077 0.76514717 0.21723296 0.1616571 ]	2
[0.93119022 0.97625618 0.76287265 0.20699775 0.16175357]	0
[0.9276448  0.40978484 0.75429996 0.21608578 0.1608034 ]	2
[0.93204744 0.96231756 0.75198063 0.20590075 0.16089635]	0
[0.92849849 0.41105892 0.74345275 0.21493859 0.15994971]	2
[0.93290466 0.94837894 0.74108862 0.20480376 0.16003913]	0
[0.92935219 0.98446696 0.73260554 0.21379141 0.15909602]	0
[0.92807854 0.39018807 0.72616674 0.22468739 0.15887798]	2
[0.92963701 0.96985054 0.72172851 0.21340867 0.15881119]	0
[0.92836298 0.39059032 0.71530463 0.22428514 0.15859355]	2
[0.92992184 0.95523412 0.71085149 0.21302592 0.15852637]	0
[0.92864741 0.99623215 0.70444251 0.22388289 0.15830911]	1
[0.92864741 0.98854621 0.69900773 0.22388289 0.15830911]	1
[0.92864741 0.98086026 0.69357294 0.22388289 0.15830911]	1
[0.92864741 0.97317432 0.68813816 0.22388289 0.15830911]	1
[0.92864741 0.96548838 0.68270338 0.22388289 0.15830911]	1
